Name	Stars
The Terminator	"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
Jai Bhim	"Suriya, Lijo Mol Jose, Manikandan K."
Before Sunset	"Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
Rush	"Daniel Brühl, Chris Hemsworth, Olivia Wilde"
Network	"Faye Dunaway, William Holden, Peter Finch"
Stand by Me	"Wil Wheaton, River Phoenix, Corey Feldman"
Guardians of the Galaxy Vol. 3	"Chris Pratt, Chukwudi Iwuji, Bradley Cooper"
The Best Years of Our Lives	"Myrna Loy, Dana Andrews, Fredric March"
Into the Wild	"Emile Hirsch, Vince Vaughn, Catherine Keener"
The Wizard of Oz	"Judy Garland, Frank Morgan, Ray Bolger"
La haine	"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
The Incredibles	"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
The Exorcist	"Ellen Burstyn, Max von Sydow, Linda Blair"
Pirates of the Caribbean: The Curse of the Black Pearl	"Johnny Depp, Geoffrey Rush, Orlando Bloom"
To Be or Not to Be	"Carole Lombard, Jack Benny, Robert Stack"
Groundhog Day	"Bill Murray, Andie MacDowell, Chris Elliott"
My Father and My Son	"Çetin Tekindor, Fikret Kuskan, Hümeyra"
The Battle of Algiers	"Brahim Hadjadj, Jean Martin, Yacef Saadi"
The Grapes of Wrath	"Henry Fonda, Jane Darwell, John Carradine"
Hachi: A Dog's Tale	"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
The Handmaiden	"Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
Pather Panchali	"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee"
Amores perros	"Emilio Echevarría, Gael García Bernal, Goya Toledo"
Rebecca	"Laurence Olivier, Joan Fontaine, George Sanders"
Cool Hand Luke	"Paul Newman, George Kennedy, Strother Martin"
The Sound of Music	"Julie Andrews, Christopher Plummer, Eleanor Parker"
It Happened One Night	"Clark Gable, Claudette Colbert, Walter Connolly"
The 400 Blows	"Jean-Pierre Léaud, Albert Rémy, Claire Maurier"
Persona	"Bibi Andersson, Liv Ullmann, Margaretha Krook"
The Iron Giant	"Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
The Help	"Viola Davis, Emma Stone, Octavia Spencer"
Life of Brian	"Graham Chapman, John Cleese, Michael Palin"
Aladdin	"Scott Weinger, Robin Williams, Linda Larkin"
Dances with Wolves	"Kevin Costner, Mary McDonnell, Graham Greene"
